permit_number,s_name,s_address,city,z_code,p_fee,c_number,contractor,permit_specifications,square_feet,is_the_building_occupied,i_date,e_date,achd_inspector,job_complete,is_permit_date_extended,permit_o_e_date,project_type,latitude,longitude
DEM190108,VACANT RESIDENTIAL,4234  3RD ST,MCKEESPORT,15132,0,0,0,DEMOLITION AND SITE CLEARANCE SEEK AND STRAW,1200,f,4/18/19,12/31/19,3,f,f,12/31/19,DEMOLITION,40.321012,-79.8381872
DEM190110,BATHHOUSE & CIVIC CENTER - 118 PARK DRIVE,,PITTSBURGH,15227,0,0,956,REMOVED PRIOR TOTAL DEMOLITION,8000,f,4/20/19,10/20/19,3,f,f,10/20/19,DEMOLITION,40.3760655,-79.9696277
DEM190112,VACANT RESIDENCE,232 E 14TH AVE,HOMESTEAD,15120,0,0,915,RAZE TWO STORY FRAME DWELLING HAUL AWAY ALL TRASH AND DEBRIS VOID WILL BE CLEANED OUT AND BACK FILLED WITH CLEAN MATERIAL LEVEL THE LOT WITH CONTOUR OF STREET SEED AND STRAW LOT,1500,f,4/28/19,12/31/19,2,f,f,12/31/19,DEMOLITION,40.4037671,-79.9051888
DEM190113,VACANT RESIDENCE,436  OHIO RIVER BLVD,AVALON,15202,0,0,937,"RAZE THE ENTIRE STRUCTURE BY DELIBERATE COLLAPSE.   LEGALLY HAUL AND DISPOSE OF ALL THE CONTRUCTION DEBRIS AT A CERTIFIED LANDFILL.  FILL ALL VOIDS TO THE ORIGINAL GRADE WITH CLEAN SUITABLE FILL MATERIAL, SEED AND STRAW.",1500,f,4/29/19,10/20/19,2,f,f,10/20/19,DEMOLITION,40.499893,-80.073105
DEM190114,VACANT RESIDENCE,530  OHIO RIVER BLVD,AVALON,15202,0,0,937,REMOVE 2ND FLOOR BATHROOM GREEN LINOLEUM AND MASTIC,50,f,4/29/19,10/20/19,2,f,f,10/20/19,DEMOLITION,40.4991892,-80.0719401
DEM190146,VACANT RESIDENCE,2427 S BRADDOCK AVE,SWISSVALE,15218,0,0,0,DEMOLISH STRUCTURE AND GRADE LOT,840,f,5/13/19,12/31/19,3,f,f,12/31/19,DEMOLITION,40.4179969,-79.8797879
DEM190147,VACANT RESIDENCE,2111  HUDSON ST,SWISSVALE,15218,0,0,0,DEMOLISH STRUCTURE AND GRADE LOT,1069,f,5/23/19,12/31/19,3,f,f,12/31/19,DEMOLITION,40.427734,-79.879834
DEM190148,VACANT RESIDENCE,2337 S BRADDOCK AVE,SWISSVALE,15218,0,0,0,DEMOLISH STRUCTURE AND GRADE LOT,2220,f,5/23/19,12/31/19,3,f,f,12/31/19,DEMOLITION,40.4187064,-79.8809338
DEM190149,VACANT RESIDENCE,2611 S BRADDOCK AVE,SWISSVALE,15218,0,0,0,DEMOLISH STRUCTURE AND GRADE LOT,1232,f,5/23/19,12/31/19,3,f,f,12/31/19,DEMOLITION,40.4148414,-79.8765179
DEM190150,VACANT RESIDENCE,7430  DUQUESNE AVE,SWISSVALE,15218,0,0,0,DEMOLISH STRUCTURE AND GRADE LOT,2046,f,5/23/19,12/31/19,3,f,f,12/31/19,DEMOLITION,40.4186307,-79.8867525
